INDEX_CLASS,SampleID,TAXAID,N_TAXA
CIP_medium,KS_0046,LIBELLULIDAE,4
CIP_medium,KS_0046,LYMNAEIDAE,1
CIP_medium,KS_0046,MACCAFFERTIUM TERMINATUM,1
CIP_medium,KS_0046,MACRONYCHUS GLABRATUS,30
CIP_medium,KS_0046,MUSCULIUM TRANSVERSUM,19
CIP_medium,KS_0046,NASIAESCHNA PENTACANTHA,1
CIP_medium,KS_0046,NEOPORUS DIMIDIATUS,2
CIP_medium,KS_0046,ORCONECTES,2
CIP_medium,KS_0046,PALMACORIXA,1
CIP_medium,KS_0046,PELTODYTES EDENTULUS,1
CIP_medium,KS_0046,PELTODYTES LENGI,2
CIP_medium,KS_0046,PELTODYTES LITORALIS,13
CIP_medium,KS_0046,PHYSELLA,7
CIP_medium,KS_0046,PISIDIUM,1
CIP_medium,KS_0046,POLYCENTROPUS,1
CIP_medium,KS_0046,PROCLADIUS,4
CIP_medium,KS_0046,PYCNOPSYCHE,5
CIP_medium,KS_0046,RHAGOVELIA,5
CIP_medium,KS_0046,SIMULIUM,1
CIP_medium,KS_0046,STENACRON INTERPUNCTATUM,44
CIP_medium,KS_0046,STENELMIS,19
CIP_medium,KS_0046,STENELMIS BICARINATA,24
CIP_medium,KS_0046,STENELMIS DECORATA,11
CIP_medium,KS_0046,STENELMIS SEXLINEATA,1
CIP_medium,KS_0046,STENELMIS VITTIPENNIS,2
CIP_medium,KS_0046,STRATIOMYS,1
CIP_medium,KS_0046,TABANUS,3
